tokens,pos_tags
the enemy is out there /.,DT NN VBZ RB RB .
Melanie your turn /.,NNP PRP$ NN .
This is exactly a road that leads nowhere .,DT VBZ RB DT NN WDT VBZ RB .
They medicate with alcohol and too much food /.,PRP VBP IN NN CC RB JJ NN .
At a certain point I was just completely handicapped /.,IN DT JJ NN PRP VBD RB RB JJ .
Look at the criticism that the press got after Iraq that we did not do our job on WMD /.,VB IN DT NN WDT DT NN VBD IN NNP IN PRP VBD RB VB PRP$ NN IN NNP .
Totally false /.,RB JJ .
They deserve no less than the best thinking the most realistic thinking that we provide them /.,PRP VBP DT JJR IN DT JJS NN DT RBS JJ NN WDT PRP VBP PRP .
Sorry mom and dad too /.,UH NN CC NN RB .
Waiting Game,NNP NNP
I do n't think uh we should uh guess numbers here /.,PRP VBP RB VB UH PRP MD UH VB NNS RB .
we put a lot of pressure on his networks /.,PRP VBP DT NN IN NN IN PRP$ NNS .
Phil and Susan Kissler /.,NNP CC NNP NNP .
and we have never said that Saddam /-,CC PRP VBP RB VBN IN NNP .
I think the problem is the policy that Rumsfeld is implementing /.,PRP VBP DT NN VBZ DT NN WDT NNP VBZ VBG .
/.,.
All right all right /.,RB RB RB RB .
He 's not even a member of the Judiciary Committee /.,PRP VBZ RB RB DT NN IN DT NNP NNP .
The far right is only resorting to talk about her judicial experience and qualifications because they want someone with experience that proves she 'll vote their way not because they truly are concerned about her ability to uh evaluate constitutional issues /.,DT JJ NN VBZ RB VBG TO VB IN PRP$ JJ NN CC NNS IN PRP VBP NN IN NN WDT VBZ PRP MD VB PRP$ NN RB IN PRP RB VBP JJ IN PRP$ NN TO UH VB JJ NNS .
They 're going to try to finesse it this week and have an event drawing together all factions of the party criticizing Bush and calling for some sort of transition without specifying exactly how it 's going to take place trying to have an umbrella under which those who want to withdraw troops quickly and those who want to go more slowly can all rally behind /.,PRP VBP VBG TO VB TO VB PRP DT NN CC VB DT NN VBG RP DT NNS IN DT NN VBG NNP CC VBG IN DT NN IN NN IN VBG RB WRB PRP VBZ VBG TO VB NN VBG TO VB DT NN IN WDT DT WP VBP TO VB NNS RB CC DT WP VBP TO VB RBR RB MD RB VB RB .
"So , this only hope of his was also destroyed .","RB , DT JJ NN IN PRP VBD RB VBN ."
uh I think the Secretary of State of your state seems like he 's trashing George Bush who 's running a half trillion dollar deficit for not being a real conservative /.,UH PRP VBP DT NNP IN NNP IN PRP$ NN VBZ IN PRP VBZ VBG NNP NNP WP VBZ VBG DT CD CD NN NN IN RB VBG DT JJ NN .
George Miller from California authored that report /.,NNP NNP IN NNP VBD DT NN .
Two democratic victories in the races for governor /.,CD JJ NNS IN DT NNS IN NN .
Because it 's a common problem /.,IN PRP VBZ DT JJ NN .
Thanks for watching /.,NNS IN VBG .
Let me ask you this /.,VB PRP VB PRP DT .
Your emails Abrams report at MSNBC dot com /.,PRP$ NNS NN NN NN NN NN NN .
And that 's something that I learned and reported on while I was in Iraq /.,CC DT VBZ NN WDT PRP VBD CC VBD IN IN PRP VBD IN NNP .
you know so much damage /.,PRP VBP RB JJ NN .
What other people call normal I would have to climb there every single day /.,WP JJ NNS VBP JJ PRP MD VB TO VB RB DT JJ NN .
"In his return to the Pentagon in 2001 , he would go duly unscathed by any of the company 's history .","IN PRP$ NN IN DT NNP IN CD , PRP MD VB RB JJ IN DT IN DT NN POS NN ."
Well you know uh we 've learned that perjury is a problem for public officials /.,UH PRP VBP UH PRP VBP VBN IN NN VBZ DT NN IN JJ NNS .
And printing of the leaks is certainly trouble /.,CC NN IN DT NN VBZ RB NN .
that 's why I ca n't sell medication /.,DT VBZ WRB PRP MD RB VB NN .
But as you suggested there 's a bunch of these tours /.,CC IN PRP VBD EX VBZ DT NN IN DT NNS .
"Well , we know that among major Japanese newspapers , that is , the most dominant newspapers expressing popular opinions , ranging from Asahi Shimbun to Tokyo Shimbun , etc , well , recently , even Yomiuri Simbun , which originally expressed support for Koizumi 's right - wing tendencies , has started to change sides .","UH , PRP VBP IN IN JJ JJ NNS , RB RB , DT RBS JJ NNS VBG JJ NNS , VBG IN NNP NNP IN NNP NNP , NN , UH , RB , RB NNP NNP , WDT RB VBD NN IN NNP POS JJ HYPH NN NNS , VBZ VBN TO VB NNS ."
um Thanks to both of you for coming on the program /.,UH NNS IN DT IN PRP IN VBG IN DT NN .
Uh that is a distinct possibility /.,UH DT VBZ DT JJ NN .
"In 1973 , he moved on to the Pentagon where he presided over his own obscure nest , the Office of Net Assessment , from Rumsfeld I to II , while gradually gaining the reputation of resident genius of new war methods .","IN CD , PRP VBD RP IN DT NNP WRB PRP VBD IN PRP$ JJ JJ NN , DT NNP IN NNP NNP , IN NNP CD IN CD , IN RB VBG DT NN IN JJ NN IN JJ NN NNS ."
the Democrats they are still looking for an opportunity /.,DT NNPS PRP VBP RB VBG IN DT NN .
He threatened her she said /.,PRP VBD PRP PRP VBD .
Captain Defillo thanks a lot for coming on the prorgram /.,NNP NNP NNS DT NN IN VBG IN DT NN .
I mean you have a Republican party where certain lines just are n't going to be crossed /.,PRP VBP PRP VBP DT JJ NN WRB JJ NNS RB VBP RB VBG TO VB VBN .
or was that a cheap shot by the President /?,CC VBD DT DT JJ NN IN DT NNP .
He certainly had a a very healthy appetite for them /.,PRP RB VBD DT DT RB JJ NN IN PRP .
Well that was the two hundred and forty nine investigated for leaving their posts /.,UH DT VBD DT CD CD CC CD CD VBN IN VBG PRP$ NNS .
You 're welcome /.,PRP VBP JJ .
FAO Schwartz had it with toys /.,NNP NNP VBD PRP IN NNS .
Uh perhaps uh he would not be weakened /.,UH RB UH PRP MD RB VB VBN .
I mean this is the most cynical strategy I 've ever seen /.,PRP VBP DT VBZ DT RBS JJ NN PRP VBP RB VBN .
"Shanghai , overcast changing to light rain , 11 to 15 degrees .","NNP , JJ VBG IN JJ NN , CD TO CD NNS ."
You know Andrea the administration every time there 's a national security story they do n't want published they say it will damage national security /.,PRP VBP NNP DT NN DT NN EX VBZ DT JJ NN NN PRP VBP RB VB VBN PRP VBP PRP MD VB JJ NN .
Let me say this /.,VB PRP VB DT .
Oh /.,UH .
um /.,UH .
Engineers are sometimes reduced to hunting for obsolete hardware and electronics on Ebay /.,NNS VBP RB VBN IN VBG IN JJ NN CC NNS IN NNP .
So no /.,RB UH .
And uh I can testify to that /.,CC UH PRP MD VB IN DT .
and happy Independence Day to both of you /.,CC JJ NNP NNP IN DT IN PRP .
and we had to react /.,CC PRP VBD TO VB .
Right .,UH .
And here 's the good news the good news for America and I think the good news in many ways /.,CC RB VBZ DT JJ NN DT JJ NN IN NNP CC PRP VBP DT JJ NN IN JJ NNS .
We ca n't tell them what to do /.,PRP MD RB VB PRP WP TO VB .
I worked tirelessly to conquer my behaviors /.,PRP VBD RB TO VB PRP$ NNS .
Good to talk /.,JJ TO VB .
You know to be honest I think he /-,PRP VBP TO VB JJ PRP VBP PRP .
what has he paid /?,WP VBZ PRP VBN .
Yes I am /.,UH PRP VBP .
Saddam Hussein 's last foreign minister Naji Sabri paid spy for +French intelligence later turned him over to the CIA to supply information about Iraq its chemical biological nuclear weapon program more than six months before the war began in March of oh three according {to} former intelligence officials /.,NNP NNP POS JJ JJ NN NNP NNP VBN NN IN JJ NN RB VBD PRP RP IN DT NNP TO VB NN IN NNP PRP$ JJ JJ JJ NN NN JJR IN CD NNS IN DT NN VBD IN NNP IN CD CD VBG IN JJ NN NNS .
Yeah /.,UH .
Imette was a good person a kind person /.,NNP VBD DT JJ NN DT NN NN .
But outside that how do you get out there with the people /?,CC IN DT WRB VBP PRP VB RB RB IN DT NNS .
The insurgency is in a no - win position /.,DT NN VBZ IN DT DT HYPH NN NN .
what are we going to do with these people /?,WP VBP PRP VBG TO VB IN DT NNS .
uh And article seven of the constitution also cites the universal declaration of human rights which specifically says that people should have freedom to choose their own religion /.,UH CC NN CD IN DT NN RB VBZ DT JJ NN IN JJ NNS WDT RB VBZ IN NNS MD VB NN TO VB PRP$ JJ NN .
Do they need to do it /?,VBP PRP VB TO VB PRP .
And the bigger question is are we winning or are we losing /?,CC DT JJR NN VBZ VBP PRP VBG CC VBP PRP VBG .
A lot of you still writing in about former school teacher Debra Lafave who had sex with her fourteen year old student who wo n't serve any time in jail /.,DT NN IN PRP RB VBG RB IN JJ NN NN NNP NNP WP VBD NN IN PRP$ CD NN JJ NN WP MD RB VB DT NN IN NN .
"Having advertised the medicine as `` ideal for every situation , '' Searle did not undertake a cautionary labeling change until the end of 1981 , nearly five years into Rumsfeld 's tenure , and then only when threatened with damaging publicity by children 's advocacy groups .","VBG VBN DT NN IN `` NN IN DT NN , '' NNP VBD RB VB DT JJ NN NN IN DT NN IN CD , RB CD NNS IN NNP POS NN , CC RB RB WRB VBN IN JJ NN IN NNS POS NN NNS ."
Well now the House uh Government Reform Committee which held those hearings back in March is requesting from Major League Baseball the documents relating to Palmeiro 's drug test /.,UH RB DT NNP UH NNP NNP NNP WDT VBD DT NNS RB IN NNP VBZ VBG IN NNP NNP NN DT NNS VBG IN NNP POS NN NN .
I 'm sort of about selling a full body approach to wellness /.,PRP VBP RB RB IN VBG DT JJ NN NN IN NN .
